cell_id,lon,lat,lst_min,lst_max,lst_mean,lst_count,lst_std,ndvi_min,ndvi_max,ndvi_mean,ndvi_count,ndvi_std,ndbi_min,ndbi_max,ndbi_mean,ndbi_count,ndbi_std,building_count,building_density,avg_building_area,road_length_m,road_density,albedo_proxy,green_fraction,norm_building_density,norm_road_density,impervious_fraction,dist_to_green_m
0,76.20228042268211,9.902245777937479,28.727780540000026,29.216557400000056,29.018827456250023,272,0.1050497125258072,-0.22314049303531647,-0.15080526471138,-0.19129137431873994,272,0.012875249818802474,-0.3295454680919647,-0.2456575632095337,-0.2832513697007123,272,0.016455846671777602,0.0,0.0,0.0,0.0,0.0,1.2832513697007122,0.0,0.0,0.0,0.0,5853.897445618318
1,76.2068412680463,9.902245777937479,28.905517580000037,29.22681146000002,29.040523456470606,289,0.06297263688283151,-0.21652638912200928,-0.15725190937519073,-0.18709822922016922,289,0.011452715534674609,-0.3265765905380249,-0.23551172018051147,-0.27245106416590076,289,0.012687822407725261,0.0,0.0,0.0,0.0,0.0,1.2724510641659008,0.0,0.0,0.0,0.0,5386.5546804491105
2,76.2114021134105,9.902245777937479,29.083254620000048,29.319098000000054,29.19121201294119,289,0.04913034830043522,-0.20707443356513977,-0.15853658318519592,-0.1809250194721156,289,0.009593287909372611,-0.3341463506221771,-0.2503082752227783,-0.2980580313395464,289,0.016578633713342804,0.0,0.0,0.0,0.0,0.0,1.2980580313395464,0.0,0.0,0.0,0.0,4925.660034313082
3,76.2159629587747,9.902245777937479,29.008058180000035,29.373786320000022,29.141242689411783,289,0.07385874282132196,-0.22286541759967804,-0.15893536806106567,-0.18597123037160063,289,0.012250604466852211,-0.3526569902896881,-0.29017341136932373,-0.32489803010617163,289,0.011313451388704597,0.0,0.0,0.0,0.0,0.0,1.3248980301061717,0.0,0.0,0.0,0.0,4473.207087571449
4,76.22052380413889,9.902245777937479,29.073000560000025,29.373786320000022,29.205806603529425,289,0.054028640356539696,-0.23088128864765167,-0.1721556931734085,-0.19534347956568313,289,0.009410018172353677,-0.3554735481739044,-0.2809523940086365,-0.32719305229846996,289,0.0119036420951375,0.0,0.0,0.0,0.0,0.0,1.3271930522984698,0.0,0.0,0.0,0.0,4032.038684025629
5,76.22508464950309,9.902245777937479,29.01489422000003,29.353278199999977,29.207438737647074,289,0.06962081331056925,-0.2301255166530609,-0.16336996853351593,-0.198712596431323,289,0.011222848425140347,-0.37041419744491577,-0.2929781973361969,-0.3357647430525519,289,0.012170455186023593,0.0,0.0,0.0,0.0,0.0,1.3357647430525519,0.0,0.0,0.0,0.0,3606.29861175807
6,76.22964549486728,9.902245777937479,29.19604928000001,29.70533426000003,29.394862138823544,289,0.12196207914201546,-0.22733423113822937,-0.17036011815071106,-0.20232256721047795,289,0.010306437577964931,-0.37122970819473267,-0.30071598291397095,-0.3438021649951341,289,0.013372371258692973,0.0,0.0,0.0,0.0,0.0,1.3438021649951342,0.0,0.0,0.0,0.0,3202.1465974197085
7,76.23420634023148,9.902245777937479,29.31226196,29.582285540000044,29.432909787058843,289,0.05896250618282532,-0.24174372851848602,-0.17412251234054565,-0.21222528371843913,289,0.009649502315127447,-0.3833902180194855,-0.29748284816741943,-0.35003255560323854,289,0.0158333496209783,0.0,0.0,0.0,0.0,0.0,1.3500325556032386,0.0,0.0,0.0,0.0,2828.8505460830593
8,76.23876718559568,9.902245777937479,29.302007900000035,29.647227919999978,29.426937122352967,289,0.055824308996866426,-0.24954240024089813,-0.19091467559337616,-0.2202512483695799,289,0.011373559036192585,-0.38445377349853516,-0.3072746992111206,-0.35142311175389274,289,0.013512604873664482,0.0,0.0,0.0,0.0,0.0,1.3514231117538928,0.0,0.0,0.0,0.0,2500.2694693355766
9,76.24332803095987,9.902245777937479,29.233647500000018,29.613047720000054,29.446428115294136,289,0.06677449320872993,-0.2545454502105713,-0.20440636575222015,-0.2275379273305715,289,0.008940126000293994,-0.3973168134689331,-0.3340336084365845,-0.36457700630372786,289,0.011504089508814201,0.0,0.0,0.0,0.0,0.0,1.364577006303728,0.0,0.0,0.0,0.0,2236.2018810961963
10,76.24788887632407,9.902245777937479,29.44556474000001,29.667736040000023,29.568341437647078,289,0.04462679204514715,-0.31253546476364136,-0.21892815828323364,-0.2689327517182769,289,0.02298266557027752,-0.3971014618873596,-0.3174603283405304,-0.36121289210336016,289,0.014340050685006883,0.0,0.0,0.0,0.0,0.0,1.3612128921033602,0.0,0.0,0.0,0.0,2061.589123286719
11,76.25244972168827,9.902245777937479,29.418220580000025,30.94949354000005,29.7212061729412,289,0.2587505727635056,-0.3132530152797699,-0.0547078512609005,-0.25929075458883,289,0.030417203845310988,-0.4184260964393616,-0.14362899959087372,-0.3810701997222372,289,0.02439953327271088,0.0,0.0,0.0,0.0,0.0,1.3810701997222372,0.0,0.0,0.0,0.0,1802.9417220249861
12,76.25701056705246,9.902245777937479,29.712170300000025,36.349965139999995,32.76835326235296,289,2.082834802237703,-0.2402234673500061,0.7755040526390076,0.21031004169820502,289,0.30678216803729624,-0.6445578336715698,0.1717955619096756,-0.20156135691078478,289,0.16955120933632392,65.0,0.037123568552400926,141.87195583956603,3456.1082420117646,0.01391320357935795,1.2015613569107848,0.21031004169820502,0.1541902947027144,0.31371111219312187,0.21799862169887738,1581.1861728633849
13,76.26157141241666,9.902245777937479,29.336188100000015,32.04667796000001,29.93679201875002,272,0.5192826584007947,-0.24849699437618256,0.6026960015296936,-0.1567698646994198,272,0.13947819206079323,-0.48929160833358765,0.11115926504135132,-0.398469420040355,272,0.08803963941526587,0.0,0.0,0.0,0.0,0.0,1.398469420040355,0.0,0.0,0.0,0.0,1499.9999999998902
14,76.26613225778085,9.902245777937479,29.54126930000001,35.068207640000026,31.106474091764728,289,1.3685801590809665,-0.20330236852169037,0.7727031111717224,0.1882529605218696,289,0.3059871787245753,-0.6298736929893494,0.12811172008514404,-0.31048090317670035,289,0.14822145344309728,1.0,0.0012593781540345,312.83573140737826,1357.077055913573,0.005463164932823595,1.3104809031767004,0.1882529605218696,0.0052307441413840415,0.12318194996537532,0.05241122647098055,1581.1861728633849
15,76.27069310314505,9.902245777937479,29.442146719999982,37.57703432000005,31.087621760000015,289,1.9848966009469808,-0.24483776092529297,0.7316573858261108,0.05186371324796578,289,0.2751723575692102,-0.5126948952674866,0.05540488287806511,-0.29138508305005134,289,0.13189543625917965,35.0,0.013338572547944023,94.66763045144069,1124.899399656722,0.004528490793046243,1.2913850830500513,0.05186371324796578,0.055400881765392984,0.1021071728836449,0.07408339821269375,1802.9417220249861
16,76.27525394850925,9.902245777937479,30.040300220000006,39.35440472000005,36.09956265058825,289,2.1147405307877647,-0.15231788158416748,0.7365047931671143,0.3976755109212803,289,0.2072191693594907,-0.5262593626976013,0.17265000939369202,-0.1038892013391409,289,0.12989493651198375,281.0,0.12533191015716996,110.79381955743696,5348.302491721013,0.02153058184543068,1.1038892013391408,0.3976755109212803,0.5205578266407888,0.4854656757064997,0.5065209662670731,2121.6379095622947
17,76.27981479387344,9.902245777937479,29.60621168,38.53749793999998,34.69475643058826,289,2.9830675568528107,-0.19506406784057617,0.7276288270950317,0.21809821475335883,289,0.26347104349447426,-0.4818577766418457,0.28035280108451843,-0.1393964166872229,289,0.1960490238110503,550.0,0.13555396266758166,61.222311720677496,7051.096832467901,0.028385495713174468,1.139396416687223,0.21809821475335883,0.5630144478791871,0.6400284003279125,0.5938200288586772,1802.9417220249861
