cell_id,lon,lat,lst_min,lst_max,lst_mean,lst_std,ndvi_min,ndvi_max,ndvi_mean,ndvi_std,ndbi_min,ndbi_max,ndbi_mean,ndbi_std,building_count,building_density,avg_building_area,road_length_m,road_density,albedo_proxy,green_fraction,norm_building_density,norm_road_density,impervious_fraction,dist_to_green_m
0,80.15230531645344,12.952245777937478,40.94036600000004,43.469700800000055,41.9319820929412,0.5993877228499351,-0.003119151573628187,0.6617543697357178,0.23445214365042893,0.12422996750441515,-0.2086097151041031,0.2679066061973572,0.04694351196289062,0.07579842265815663,460.0,0.26207961078270975,141.54708954549744,11738.754442024478,0.04724941951977395,0.9530564880371094,0.23445214365042893,0.603738003014929,0.7661432590728942,0.668700105438115,707.2460966260223
1,80.1569159493603,12.952245777937478,37.166871920000006,43.623511699999995,41.23942500941178,1.3572421268106911,-0.09438775479793549,0.7458945512771606,0.2443231081495098,0.17507151119654438,-0.4926493465900421,0.471755713224411,0.02373616237266391,0.12675170921127316,282.0,0.15876063483961897,139.86828798385483,9447.619478241104,0.038027419211745274,0.976263837627336,0.2443231081495098,0.3657279112602278,0.6166097104499856,0.46608063093613095,499.9999999999634
2,80.16152658226716,12.952245777937478,36.50719406000002,43.40475842000001,40.26547854235296,1.7758700675283607,-0.051930759102106094,0.7984962463378906,0.34005925105168266,0.25051600199396884,-0.29215845465660095,0.41200828552246094,0.006451924397395207,0.13197814205545505,96.0,0.09842750446301744,254.72453704543366,5176.7018788594205,0.020836636460115566,0.9935480756026048,0.34005925105168266,0.22674188506603804,0.337863379654625,0.27119048290147285,707.2460966260223
3,80.16613721517402,12.952245777937478,37.93934444000001,45.96485540000003,42.892954276470604,1.9402730453271508,-0.032620131969451904,0.8178204894065857,0.26329455805759805,0.21372930678077823,-0.4383001923561096,0.3941628336906433,0.03267283420936734,0.12043640307974747,5.0,0.01664171314236235,826.9010965988595,3950.2013762060014,0.015899874465706672,0.9673271657906326,0.26329455805759805,0.03833657501745646,0.2578144190090715,0.12612771261410247,1118.3864112063816
4,80.17074784808088,12.952245777937478,40.458425180000006,46.457050279999976,43.88951408000002,1.3879567768667067,-0.15246880054473877,0.7858220338821411,0.17329236797257966,0.12860605731341251,-0.31940382719039917,0.6047058701515198,0.0853070188036152,0.07332781258782912,46.0,0.05879652019355724,317.5552758166014,5080.518562370601,0.020449490967463138,0.9146929811963848,0.17329236797257966,0.13544622406859544,0.33158586529591455,0.2139020805595231,1581.699519736602
5,80.17535848098774,12.952245777937478,39.52872374000003,45.05224406000002,42.66954113529413,1.0118683257949173,-0.041688937693834305,0.7638074159622192,0.1853497079702524,0.1393425259008933,-0.3817603290081024,0.4129181206226349,0.060680823692908656,0.07389180429455393,79.0,0.07174117299159564,225.61445565463188,8957.891040346265,0.03605622333000689,0.9393191763070914,0.1853497079702524,0.16526608989741373,0.5846470228137051,0.3330184630639303,2062.3173032015393
6,80.1799691138946,12.952245777937478,34.165850360000036,46.474140379999994,40.575678641176495,2.798719300767854,-0.028312571346759796,0.8076764345169067,0.2661782896752451,0.2019390938683687,-0.5606725215911865,0.4405311644077301,-0.0201258072198606,0.1552459664518648,151.0,0.08801486242232276,144.81201869185742,4834.289173844196,0.01945839811054713,1.0201258072198607,0.2661782896752451,0.20275486946805454,0.3155154221209731,0.24785909052922198,2550.475647760532
7,80.18457974680146,12.952245777937478,41.34027434000001,46.65871346000006,42.61092623176472,0.8069504479025269,-0.025571273639798164,0.6901541948318481,0.17670509487974878,0.12336923261137304,-0.2567075192928314,0.2515723407268524,0.08111282647824755,0.07116021842217575,232.0,0.18320281425094867,196.18676065753235,8261.792960453067,0.03325437323882204,0.9188871735217524,0.17670509487974878,0.42203398002710935,0.5392153840314406,0.4689065416288419,3042.547203075098
8,80.18919037970832,12.952245777937478,39.88077980000003,44.307115700000054,41.852452350000014,0.8903183811459047,-0.006149341352283955,0.790049135684967,0.23379568246694712,0.15734810023474907,-0.4043976366519928,0.2842501699924469,0.04707423576941857,0.09679776805178364,262.0,0.1860947643200801,176.4649282372482,9099.65300393675,0.03662682649942446,0.9529257642305814,0.23379568246694712,0.42869600212925557,0.5938992798000993,0.49477731319759305,3001.1820142970564
9,80.19380101261518,12.952245777937478,38.30165456000003,42.25288568000002,40.01978322235296,0.9384201068089888,-0.027908125892281532,0.7992784380912781,0.2386571786917892,0.14980577350178165,-0.349721759557724,0.4091868996620178,0.037360340193206186,0.09354481603972328,228.0,0.14282562773918123,155.63126053805328,9259.839912058034,0.03727159153482738,0.9626396598067938,0.2386571786917892,0.32901933505273556,0.6043540619028319,0.4391532257927741,2500.985011914214
10,80.19841164552204,12.952245777937478,37.63855868000002,41.30609414000003,39.3732452247059,0.848408596476836,-0.0042023868300020695,0.8316988348960876,0.20987137140012255,0.1620490486286008,-0.3675800561904907,0.2739286720752716,0.04229888616823683,0.09864477659931821,284.0,0.17220075964982684,150.6406786151713,12020.418725863758,0.04838314064637106,0.9577011138317632,0.20987137140012255,0.396689167990397,0.7845264012921842,0.551824061311112,2000.788009531371
11,80.2030222784289,12.952245777937478,38.37001496000005,42.15718112000002,40.19685794705884,0.9955875669272323,-0.0025795355904847383,0.817211925983429,0.2294049072265625,0.14594531770374905,-0.3566916286945343,0.23852737247943878,0.03860734205979567,0.07878616226786882,180.0,0.133114057895876,183.72868143175697,10812.167698599707,0.043519834240708544,0.9613926579402043,0.2294049072265625,0.30664733989513315,0.705668513568399,0.4662558093644395,1500.5910071485282
12,80.20763291133576,12.952245777937478,38.54775200000006,44.026838060000046,41.20019465529414,1.3357966852200283,-0.02214212156832218,0.6519480347633362,0.19386882707184436,0.12496956827622749,-0.19477342069149017,0.4850250780582428,0.052452500287224264,0.06539977936417801,41.0,0.039802080856967736,241.1834267916695,11518.446399470533,0.04636266214039254,0.9475474997127757,0.19386882707184436,0.09168980654640752,0.7517646022438533,0.3557197248253859,1000.3940047656855
13,80.21224354424263,12.952245777937478,37.99403275999998,44.57372126000001,41.81443295529414,1.386027754038265,-0.03381389379501343,0.8251553177833557,0.2952510818780637,0.17916082744850115,-0.36732766032218933,0.3363281190395355,0.0716163725011489,0.11363348049917442,42.0,0.023608791547985435,139.65291580574535,5531.277968123388,0.022263833397921574,0.9283836274988511,0.2952510818780637,0.05438624019704478,0.36100519439823137,0.17703382187751943,500.19700238284275
14,80.21685417714949,12.952245777937478,34.43929195999999,42.28706588,37.413738118823545,2.0286038985057546,0.034427542239427567,0.8817505240440369,0.5936183049128606,0.20044012178648038,-0.6014766097068787,0.5437853336334229,-0.19143819955679087,0.2331736054587025,0.0,0.0,0.0,0.0,0.0,1.1914381995567909,0.5936183049128606,0.0,0.0,0.0,0.0
