cell_id,lon,lat,lst_min,lst_max,lst_mean,lst_std,ndvi_min,ndvi_max,ndvi_mean,ndvi_std,ndbi_min,ndbi_max,ndbi_mean,ndbi_std,building_count,building_density,avg_building_area,road_length_m,road_density,albedo_proxy,green_fraction,norm_building_density,norm_road_density,impervious_fraction,dist_to_green_m
0,77.10255788323957,28.50224577793748,36.77379961999998,45.95801935999998,41.740722367368434,2.580362828128336,0.0468619242310524,0.7097344994544983,0.3096546052631579,0.1532186747465958,-0.34348928928375244,0.3173854351043701,0.045887210243626644,0.10089192617566115,8.0,0.034644027704407866,1079.9213131758308,0.0,0.0,0.9541127897563734,0.3096546052631579,0.0930211001400124,0.0,0.05581266008400744,2000.0000000006446
1,77.10767364971872,28.50224577793748,39.07412708000004,45.97510946,43.288995479473705,1.472284208138096,0.09473684430122375,0.6608940958976746,0.29755450332373906,0.12233146966515765,-0.26784342527389526,0.2380540519952774,0.07633230108963816,0.07905128629635472,0.0,0.0,0.0,352.3198761567329,0.0014128089011518656,0.9236676989103618,0.29755450332373906,0.0,0.015837971492553046,0.006335188597021219,2000.0000000006446
2,77.11278941619787,28.50224577793748,39.40225700000002,47.38333369999998,43.732224974276335,1.785314436136379,0.10131195187568665,0.7072310447692871,0.3029219777960526,0.1343343746168458,-0.25571590662002563,0.2655201256275177,0.08297263162177906,0.08448358424647939,0.0,0.0,0.0,228.1796446255466,0.0009150043889242013,0.917027368378221,0.3029219777960526,0.0,0.010257447709684741,0.004102979083873896,2000.0000000006446
3,77.11790518267702,28.50224577793748,43.16549702000003,48.61723891999998,45.21307089578949,1.021629124882902,0.0714285746216774,0.7008525133132935,0.24210601271244517,0.11360551279010657,-0.2540469169616699,0.2907935082912445,0.1140954804002193,0.07596453391144242,0.0,0.0,0.0,1301.786323832711,0.005220186058678234,0.8859045195997807,0.24210601271244517,0.0,0.058519703489808055,0.023407881395923223,2061.6654904873394
4,77.12302094915617,28.50224577793748,40.851497480000035,44.92919533999998,43.34163748486844,0.7873723508209732,0.08254620432853699,0.6336697340011597,0.25277560050027414,0.07735693907662168,-0.15039578080177307,0.29910504817962646,0.161328628272341,0.06148076752176518,2.0,0.0021639391676591397,269.81666768194435,328.3783409839885,0.001316802923946519,0.838671371727659,0.25277560050027414,0.005810294453323766,0.014761718413418792,0.009390864037361777,1582.460537256639
5,77.12813671563532,28.50224577793748,39.84318158000002,46.89455684000001,43.45021583730265,1.573635419365091,0.05380016937851906,0.7190278768539429,0.30971962376644735,0.1243639014524006,-0.22233930230140686,0.22789360582828522,0.061624466745476975,0.06901197459459464,10.0,0.006434183208641754,160.4527427163145,1159.985411883398,0.004651561907299618,0.938375533254523,0.30971962376644735,0.017276132142513556,0.052145272317857476,0.031223788212651125,1118.8647722828057
6,77.13325248211447,28.50224577793748,38.592186260000005,46.77834416000002,42.80450238796054,2.1680002316536537,0.06446832418441772,0.7233587503433228,0.321633514939693,0.1490928791945924,-0.2306627482175827,0.2721215784549713,0.06445904648094847,0.08136146423262666,10.0,0.01745743558294321,435.34561097272945,0.0,0.0,0.9355409535190515,0.321633514939693,0.04687416478835575,0.0,0.02812449887301345,707.4352229455249
7,77.13836824859362,28.50224577793748,38.61269437999999,42.895473440000046,41.049461552828966,0.8485012255689278,0.0693877562880516,0.7230368256568909,0.3710699355811404,0.1549100525777639,-0.2610306441783905,0.21020707488059998,0.038935343424479164,0.07446395300029623,3.0,0.005171770783556168,429.9042473680017,1601.8948698712775,0.006423626607591269,0.9610646565755209,0.3710699355811404,0.013886486065162653,0.07201059889054295,0.037136131195314774,500.00000000016115
8,77.14348401507277,28.50224577793748,36.281604740000034,41.37103652000002,38.73464123828949,0.9806362664655935,0.04573577642440796,0.7041643857955933,0.4409360437225877,0.13399995961135658,-0.2068706601858139,0.2293095588684082,0.004538357383326481,0.07790187891440048,0.0,0.0,0.0,168.11319607778668,0.0006741368736009844,0.9954616426166735,0.4409360437225877,0.0,0.007557257444702027,0.003022902977880811,0.0
9,77.14859978155192,28.50224577793748,34.41194780000001,41.10101294000003,36.82325971861844,1.6895525657271104,0.033742330968379974,0.7892031073570251,0.5003374280427632,0.1613085789360158,-0.3336794972419739,0.42739275097846985,-0.036774827388294955,0.08892018722820368,1.0,0.0016336924611024743,407.4028165483235,2.587338148731919,1.0375271491047239e-05,1.0367748273882949,0.5003374280427632,0.004386553183677926,0.00011630961127774,0.0026784557547178517,0.0
10,77.15371554803107,28.50224577793748,34.50081632000001,40.738702820000015,36.21360413157896,1.4675837146954673,0.02569791115820408,0.8117673993110657,0.5158195415296053,0.14758638025953252,-0.3572864234447479,0.16846629977226257,-0.05906708299067982,0.08481150971194011,13.0,0.018742250231290978,359.527489201628,2228.3497404212276,0.008935721658649873,1.0590670829906799,0.5158195415296053,0.05032396205456987,0.10017186668324427,0.07026312390603963,0.0
11,77.15883131451022,28.50224577793748,36.65416892000002,41.148865220000005,38.287847558157914,0.9385925274667147,0.01340445876121521,0.7865759134292603,0.3586389588473136,0.16938219095287854,-0.3138221204280853,0.1818273961544037,-0.018469570226836624,0.07655452355171077,8.0,0.01825847891313183,569.1520827976303,1565.6468282607334,0.006278271323082943,1.0184695702268367,0.3586389588473136,0.04902500973253306,0.07038112667355886,0.05756745650894338,500.00000000016115
